ip,label,confidence,total_requests,human_requests,bot_requests,suspicious_path_hits,top_user_agent,top_referer,top_bot_reason,evidence
183.207.45.104,bot,0.99,59,0,59,0,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/107.0.0.0 safari/537.36",direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
108.141.166.46,bot,0.99,55,1,54,0,mozilla/5.0 (x11; ubuntu; linux x86_64; rv:107.0) gecko/20100101 firefox/107.0,direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
74.7.243.238,bot,0.99,50,0,50,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://musicstore.mydropintheoceans.org/blog/money-work-worth/,user agent: gptbot,known bot signature and bot-dominant behavior
74.7.227.13,bot,0.99,48,0,48,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://lefix.mydio.ch/blog/money-work-worth/,user agent: gptbot,known bot signature and bot-dominant behavior
3.249.190.146,bot,0.99,45,1,44,0,mechanize/2.14.0 ruby/3.3.9p170 (http://github.com/sparklemotion/mechanize/),direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
2600:1900:0:4003::1a01,bot,0.99,42,0,42,0,python-httpx/0.28.1 (sumblebot/1.0),https://mydropintheoceans.org,user agent: python-httpx,known bot signature and bot-dominant behavior
74.7.241.48,bot,0.99,42,0,42,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://musicstore.mydio.ch/,user agent: gptbot,known bot signature and bot-dominant behavior
74.7.241.53,bot,0.99,41,0,41,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://musicstore.mydio.ch/,user agent: gptbot,known bot signature and bot-dominant behavior
74.7.241.42,bot,0.99,41,0,41,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://lefix.mydropintheoceans.org/blog,user agent: gptbot,known bot signature and bot-dominant behavior
74.7.241.5,bot,0.99,41,0,41,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://mydropintheoceans.org/,user agent: gptbot,known bot signature and bot-dominant behavior
74.7.243.199,bot,0.99,41,0,41,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://musicstore.mydropintheoceans.org/,user agent: gptbot,known bot signature and bot-dominant behavior
216.73.216.25,bot,0.99,40,0,40,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; claudebot/1.0; +claudebot@anthropic.com)",direct,user agent: claudebot,known bot signature and bot-dominant behavior
74.7.227.45,bot,0.99,33,0,33,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://lefix.mydropintheoceans.org/,user agent: gptbot,known bot signature and bot-dominant behavior
74.7.242.19,bot,0.99,33,0,33,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://lefix.mydio.ch/,user agent: gptbot,known bot signature and bot-dominant behavior
144.76.32.241,bot,0.99,32,0,32,0,mozilla/5.0 (compatible; serankingbacklinksbot/1.0; +https://seranking.com/backlinks-crawler),direct,user agent: crawler,known bot signature and bot-dominant behavior
216.73.216.14,bot,0.99,31,0,31,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; claudebot/1.0; +claudebot@anthropic.com)",direct,user agent: claudebot,known bot signature and bot-dominant behavior
45.148.10.62,bot,0.99,30,0,30,0,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/91.0.4472.124 safari/537.36",direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
216.73.216.211,bot,0.99,29,0,29,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; claudebot/1.0; +claudebot@anthropic.com)",direct,user agent: claudebot,known bot signature and bot-dominant behavior
162.55.167.47,bot,0.99,27,1,26,0,scaleupxq-crawler/1.0 (+https://sxq-hive.thwd.no/crawler-info),direct,user agent: crawler,known bot signature and bot-dominant behavior
168.119.25.24,bot,0.99,26,0,26,0,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/139.0.0.0 safari/537.36",direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
2600:1f28:365:80b0:41d:4c79:9a62:c936,bot,0.99,26,0,26,0,ccbot/2.0 (https://commoncrawl.org/faq/),direct,user agent: ccbot,known bot signature and bot-dominant behavior
3.85.45.96,bot,0.99,23,0,23,0,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/137.0.0.0 safari/537.36",direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
100.24.59.123,bot,0.99,23,0,23,0,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/137.0.0.0 safari/537.36",direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
216.73.216.40,bot,0.99,22,0,22,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; claudebot/1.0; +claudebot@anthropic.com)",direct,user agent: claudebot,known bot signature and bot-dominant behavior
93.123.109.165,bot,0.99,20,0,20,0,"mozilla/5.0 (x11; linux x86_64) applewebkit/537.36 (khtml, like gecko) chrome/124.0.0.0 safari/537.36",direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
52.165.175.135,bot,0.99,19,0,19,0,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),direct,user agent: bingbot,known bot signature and bot-dominant behavior
66.249.64.99,bot,0.99,18,0,18,0,"mozilla/5.0 (linux; android 6.0.1; nexus 5x build/mmb29p) applewebkit/537.36 (khtml, like gecko) chrome/146.0.7680.177 mobile safari/537.36 (compatible; googlebot/2.1; +http://www.google.com/bot.html)",direct,user agent: googlebot,known bot signature and bot-dominant behavior
74.7.243.213,bot,0.99,18,0,18,0,"mozilla/5.0 applewebkit/537.36 (khtml, like gecko; compatible; gptbot/1.3; +https://openai.com/gptbot)",https://mydropintheoceans.org/de/,user agent: gptbot,known bot signature and bot-dominant behavior
66.249.64.98,bot,0.99,17,0,17,0,"mozilla/5.0 (linux; android 6.0.1; nexus 5x build/mmb29p) applewebkit/537.36 (khtml, like gecko) chrome/146.0.7680.177 mobile safari/537.36 (compatible; googlebot/2.1; +http://www.google.com/bot.html)",direct,user agent: googlebot,known bot signature and bot-dominant behavior
2a0b:6580::76,bot,0.99,17,0,17,0,mozilla/5.0 (compatible; intelx.io_bot +https://intelx.io),direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
65.109.124.105,bot,0.99,16,0,16,0,stormintelcrawler/1.0 (stormintel crawler; http://stormintel.com; info@stormintel.com),direct,user agent: crawler,known bot signature and bot-dominant behavior
217.113.194.8,bot,0.99,16,0,16,0,mozilla/5.0 (compatible; barkrowler/0.9; +https://babbar.tech/crawler),direct,user agent: barkrowler,known bot signature and bot-dominant behavior
4.175.240.139,bot,0.99,16,0,16,0,mozilla/5.0 (x11; ubuntu; linux x86_64; rv:107.0) gecko/20100101 firefox/107.0,direct,suspicious (rate/asn),known bot signature and bot-dominant behavior
3.71.225.243,bot,0.99,16,0,16,0,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),direct,user agent: node-fetch,known bot signature and bot-dominant behavior
116.202.182.111,bot,0.99,15,0,15,0,seobilitybot (seo tool; https://www.seobility.net/sites/bot.html),direct,user agent: seobilitybot,known bot signature and bot-dominant behavior
61.71.77.201,likely_me_candidate,0.35,31,31,0,0,mozilla/5.0 (windows nt 10.0; win64; x64; rv:124.0) gecko/20100101 firefox/124.0,https://mydropintheoceans.org/,,human-heavy recurring referrer from own site
32.197.220.246,likely_me_candidate,0.35,23,23,0,0,"mozilla/5.0 (iphone; cpu iphone os 11_0 like mac os x) applewebkit/604.1.38 (khtml, like gecko) version/11.0 mobile/15a372 safari/604.1",https://mydropintheoceans.org/,,human-heavy recurring referrer from own site
