source_file,link,link_type,resolved_path,exists,note
index.php,"<?php echo htmlspecialchars($canonicalUrl, ENT_QUOTES,",internal_rel,"<?php echo htmlspecialchars($canonicalUrl, ENT_QUOTES,",no,
index.php,"<?php echo htmlspecialchars($alternateEnUrl, ENT_QUOTES,",internal_rel,"<?php echo htmlspecialchars($alternateEnUrl, ENT_QUOTES,",no,
index.php,"<?php echo htmlspecialchars($alternateFrUrl, ENT_QUOTES,",internal_rel,"<?php echo htmlspecialchars($alternateFrUrl, ENT_QUOTES,",no,
index.php,"<?php echo htmlspecialchars($alternateDeUrl, ENT_QUOTES,",internal_rel,"<?php echo htmlspecialchars($alternateDeUrl, ENT_QUOTES,",no,
index.php,"<?php echo htmlspecialchars($xDefaultUrl, ENT_QUOTES,",internal_rel,"<?php echo htmlspecialchars($xDefaultUrl, ENT_QUOTES,",no,
index.php,https://mydropintheoceans.org/favicon.ico,external,favicon.ico,n/a,
index.php,https://mydropintheoceans.org/images/favicon.ico,external,images/favicon.ico,n/a,
index.php,/images/connect-icons/apple-touch-icon.png,internal_root,images/connect-icons/apple-touch-icon.png,yes,
index.php,/css/mydropintheoceans-style.css?v=<?php echo time(); ?>,internal_root,css/mydropintheoceans-style.css?v=<?php echo time(); ?>,no,
index.php,https://ajax.googleapis.com/ajax/libs/jquery/3.7.0/jquery.min.js?v=<?php echo date(,external,ajax/libs/jquery/3.7.0/jquery.min.js,n/a,
contact/index.php,"<?php echo htmlspecialchars($canonicalUrl, ENT_QUOTES,",internal_rel,"contact/<?php echo htmlspecialchars($canonicalUrl, ENT_QUOTES,",no,
contact/index.php,favicon.ico,internal_rel,contact/favicon.ico,yes,
contact/index.php,/css/mydropintheoceans-style.css?v=<?php echo time(); ?>,internal_root,css/mydropintheoceans-style.css?v=<?php echo time(); ?>,no,
contact/index.php,https://ajax.googleapis.com/ajax/libs/jquery/3.7.0/jquery.min.js,external,ajax/libs/jquery/3.7.0/jquery.min.js,n/a,
css/access_profiles.php,login.php,internal_rel,css/login.php,no,
css/access_profiles.php,login.php,internal_rel,css/login.php,no,
css/access_profiles.php,/images/connect-icons/mydio-icon-57x57-admin.JPG,internal_root,images/connect-icons/mydio-icon-57x57-admin.JPG,yes,
css/access_profiles.php,/images/connect-icons/mydio-icon-72x72-admin.JPG,internal_root,images/connect-icons/mydio-icon-72x72-admin.JPG,yes,
