missing_target,count,source_files
https://www.google.com/chrome/,23,css/access_profiles.php;css/addsecuritybusi.php;css/spendbusinessprofile.php;css/template.php;images/connect-icons/index.php;images/connect-icons/newbusinessback.php;images/connect-icons/profile.php;images/index.php;images/profile.php;images/spendbusinessprofile.php;js/about_bus.php;js/adminlogin.php;js/create_rewardable_action.php;js/driver_token.php;js/tiltedpage_scroll-master/demo/demo.php
http://jqueryvalidation.org/,22,js/validate/demo/ajaxSubmit-integration-demo.html;js/validate/demo/custom-messages-data-demo.html;js/validate/demo/custom-methods-demo.html;js/validate/demo/dynamic-totals.html;js/validate/demo/errorcontainer-demo.html;js/validate/demo/errors-within-labels.html;js/validate/demo/index.html;js/validate/demo/milk/index.html;js/validate/demo/radio-checkbox-select-demo.html;js/validate/demo/requirejs/index.html;js/validate/test/index.html
https://www.linkedin.com/shareArticle?mini=true&url=<?php echo urlencode($canonicalUrl); ?>,22,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;blog/why-the-swiss-said-no-to-free-money/content-de.php;blog/why-the-swiss-said-no-to-free-money/content-en.php;blog/why-the-swiss-said-no-to-free-money/content-fr.php;faq/content-de.php;faq/content-en.php;faq/content-fr.php;php/home-de.php;php/home-en.php;php/home-fr.php;theory-of-change/content-fr.php
https://www.facebook.com/sharer/sharer.php?u=<?php echo urlencode($canonicalUrl); ?>,22,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;blog/why-the-swiss-said-no-to-free-money/content-de.php;blog/why-the-swiss-said-no-to-free-money/content-en.php;blog/why-the-swiss-said-no-to-free-money/content-fr.php;faq/content-de.php;faq/content-en.php;faq/content-fr.php;php/home-de.php;php/home-en.php;php/home-fr.php;theory-of-change/content-fr.php
/a,18,images/all-225.js;images/style-1.7.10.js;js/all-1.8.0.js;js/all-225.js;js/all-255.js;js/style-1.7.10.js;js/validate/lib/jquery-1.11.1.js;js/validate/lib/jquery-1.7.2.js;js/validate/lib/jquery-1.8.3.js;js/validate/lib/jquery-1.9.1.js
"<?php echo htmlspecialchars(localized_path('/blog/', $locale)); ?>",17,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;faq/content-de.php;faq/content-en.php;faq/content-fr.php;theory-of-change/content-de.php;theory-of-change/content-fr.php
https://twitter.com/intent/tweet?url=<?php echo urlencode($canonicalUrl); ?>&text=<?php echo urlencode($pageTitle); ?>,15,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;php/home-de.php;php/home-en.php;php/home-fr.php
https://wa.me/?text=<?php echo urlencode($pageTitle . ' ' . $canonicalUrl); ?>,15,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;php/home-de.php;php/home-en.php;php/home-fr.php
"<?php echo htmlspecialchars(localized_path('/theory-of-change/', $locale)); ?>",15,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;faq/content-de.php;faq/content-en.php;faq/content-fr.php
"<?php echo htmlspecialchars(localized_path('/contact/', $locale)); ?>",15,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;faq/content-en.php;theory-of-change/content-de.php;theory-of-change/content-fr.php
"<?php echo htmlspecialchars(localized_path('/privacy/', $locale)); ?>",15,blog/make-money-first-then-think-of-nature/content-de.php;blog/make-money-first-then-think-of-nature/content-en.php;blog/make-money-first-then-think-of-nature/content-fr.php;blog/making-natural-capital-visible-in-everyday-transactions/content-de.php;blog/making-natural-capital-visible-in-everyday-transactions/content-en.php;blog/making-natural-capital-visible-in-everyday-transactions/content-fr.php;blog/money-work-worth/content-de.php;blog/money-work-worth/content-en.php;blog/money-work-worth/content-fr.php;blog/nature-is-not-a-charity/content-de.php;blog/nature-is-not-a-charity/content-en.php;blog/nature-is-not-a-charity/content-fr.php;faq/content-de.php;faq/content-en.php;faq/content-fr.php
